Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Enterprise Value,30.58B,27.00B,28.67B,24.80B,27.43B,CBRE,,,,,,,,,,,,,
Trailing P/E,45.01,27.77,23.06,16.97,12.72,CBRE,,,,,,,,,,,,,
Forward P/E,20.28,16.00,18.15,15.60,15.20,CBRE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.18,1.72,1.51,1.30,2.48,CBRE,,,,,,,,,,,,,
Price/Sales (ttm),0.86,0.76,0.84,0.77,0.82,CBRE,,,,,,,,,,,,,
Price/Book (mrq),3.39,2.78,3.19,2.88,3.02,CBRE,,,,,,,,,,,,,
Enterprise Value/Revenue,0.98,3.43,3.71,3.35,3.35,CBRE,,,,,,,,,,,,,
Enterprise Value/EBITDA,21.21,65.35,63.50,72.31,71.92,CBRE,,,,,,,,,,,,,
Market Cap (intraday),30.18B,29.73B,27.91B,25.26B,23.22B,ACGL,,,,,,,,,,,,,
Enterprise Value,33.23B,32.81B,30.84B,28.04B,26.11B,ACGL,,,,,,,,,,,,,
Trailing P/E,10.43,13.51,14.42,17.86,20.12,ACGL,,,,,,,,,,,,,
Forward P/E,10.11,11.00,13.09,12.35,11.85,ACGL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,ACGL,,,,,,,,,,,,,
Price/Sales (ttm),2.45,2.57,2.60,2.65,2.67,ACGL,,,,,,,,,,,,,
Price/Book (mrq),2.09,2.15,2.12,2.09,2.12,ACGL,,,,,,,,,,,,,
Enterprise Value/Revenue,2.67,9.96,9.96,8.99,8.84,ACGL,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,ACGL,,,,,,,,,,,,,
Market Cap (intraday),27.04B,27.70B,23.54B,24.55B,24.88B,FANG,,,,,,,,,,,,,
Enterprise Value,32.44B,34.22B,30.46B,30.77B,30.21B,FANG,,,,,,,,,,,,,
Trailing P/E,8.57,8.03,5.44,5.49,5.55,FANG,,,,,,,,,,,,,
Forward P/E,7.73,7.46,6.31,5.49,5.36,FANG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,1.38,1.20,FANG,,,,,,,,,,,,,
Price/Sales (ttm),3.34,3.36,2.57,2.49,2.53,FANG,,,,,,,,,,,,,
Price/Book (mrq),1.66,1.78,1.52,1.64,1.78,FANG,,,,,,,,,,,,,
Enterprise Value/Revenue,3.99,14.72,16.06,16.18,15.05,FANG,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.35,19.53,24.68,21.95,17.98,FANG,,,,,,,,,,,,,
Market Cap (intraday),29.02B,,,,,DG,26.13B,37.04B,48.52B,52.23B,57.02B,,,,,,,,
Enterprise Value,46.74B,,,,,DG,43.81B,54.72B,65.80B,68.30B,72.19B,,,,,,,,
Trailing P/E,15.22,,,,,DG,12.20,15.92,20.74,22.72,25.40,,,,,,,,
Forward P/E,18.08,,,,,DG,13.23,16.78,19.76,18.90,20.16,,,,,,,,
PEG Ratio (5 yr expected),6.86,,,,,DG,2.02,1.76,1.87,1.79,1.82,,,,,,,,
Price/Sales (ttm),0.75,,,,,DG,0.68,0.98,1.32,1.47,1.67,,,,,,,,
Price/Book (mrq),4.50,,,,,DG,4.15,6.24,8.76,8.57,9.21,,,,,,,,
Enterprise Value/Revenue,1.20,,,,,DG,4.52,5.59,7.04,6.69,7.63,,,,,,,,
Enterprise Value/EBITDA,12.92,,,,,DG,67.50,60.75,69.80,60.68,78.64,,,,,,,,
Market Cap (intraday),27.74B,23.84B,24.99B,20.15B,17.48B,TTWO,,,,,,,,,,,,,
Enterprise Value,30.45B,26.45B,27.46B,22.52B,19.84B,TTWO,,,,,,,,,,,,,
Trailing P/E,,,,,,TTWO,,,,,,,,,,,,,
Forward P/E,23.47,46.51,46.73,19.88,16.13,TTWO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.35,4.65,4.67,0.48,0.34,TTWO,,,,,,,,,,,,,
Price/Sales (ttm),5.06,4.27,4.40,3.63,3.23,TTWO,,,,,,,,,,,,,
Price/Book (mrq),3.29,2.67,2.76,2.11,1.86,TTWO,,,,,,,,,,,,,
Enterprise Value/Revenue,5.60,20.36,21.37,15.57,14.09,TTWO,,,,,,,,,,,,,
Enterprise Value/EBITDA,66.97,-612.26,188.34,237.79,90.64,TTWO,,,,,,,,,,,,,
Market Cap (intraday),25.62B,24.39B,26.88B,23.53B,22.60B,AVB,,,,,,,,,,,,,
Enterprise Value,33.22B,31.84B,34.85B,31.39B,30.58B,AVB,,,,,,,,,,,,,
Trailing P/E,27.42,19.27,25.93,20.70,18.35,AVB,,,,,,,,,,,,,
Forward P/E,33.78,31.35,40.65,35.21,29.85,AVB,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.74,2.54,3.38,2.94,1.37,AVB,,,,,,,,,,,,,
Price/Sales (ttm),9.31,8.94,9.98,9.07,8.95,AVB,,,,,,,,,,,,,
Price/Book (mrq),2.18,2.06,2.41,2.09,2.02,AVB,,,,,,,,,,,,,
Enterprise Value/Revenue,12.15,45.64,50.44,46.53,45.66,AVB,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.87,74.87,56.23,76.22,59.66,AVB,,,,,,,,,,,,,
Market Cap (intraday),26.19B,24.26B,26.62B,27.01B,24.29B,EIX,,,,,,,,,,,,,
Enterprise Value,62.49B,60.75B,62.41B,61.17B,57.90B,EIX,,,,,,,,,,,,,
Trailing P/E,21.27,25.52,31.71,44.12,33.48,EIX,,,,,,,,,,,,,
Forward P/E,13.26,12.29,14.71,14.86,13.30,EIX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.06,1.98,2.37,3.12,2.85,EIX,,,,,,,,,,,,,
Price/Sales (ttm),1.58,1.42,1.55,1.57,1.47,EIX,,,,,,,,,,,,,
Price/Book (mrq),1.91,1.76,1.95,1.98,1.81,EIX,,,,,,,,,,,,,
Enterprise Value/Revenue,3.75,12.92,15.74,15.42,14.42,EIX,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.78,47.20,40.34,43.23,37.38,EIX,,,,,,,,,,,,,
Market Cap (intraday),,21.65B,29.21B,25.36B,26.73B,DFS,,,,,,24.34B,,,,,,,
Enterprise Value,,,,,,DFS,,,,,,,,,,,,,
Trailing P/E,,5.99,7.86,6.38,6.35,DFS,,,,,,8.64,,,,,,,
Forward P/E,,6.73,8.47,7.09,6.85,DFS,,,,,,8.01,,,,,,,
PEG Ratio (5 yr expected),,11.22,,,,DFS,,,,,,22.90,,,,,,,
Price/Sales (ttm),,1.55,2.24,2.06,2.20,DFS,,,,,,1.56,,,,,,,
Price/Book (mrq),,1.69,2.20,1.88,1.98,DFS,,,,,,1.64,,,,,,,
Enterprise Value/Revenue,,,,,,DFS,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,DFS,,,,,,,,,,,,,
Market Cap (intraday),26.97B,21.92B,27.11B,18.91B,19.93B,XYL,,,,,,,,,,,,,
Enterprise Value,28.64B,23.82B,28.22B,19.91B,21.17B,XYL,,,,,,,,,,,,,
Trailing P/E,45.66,48.68,54.94,53.42,62.82,XYL,,,,,,,,,,,,,
Forward P/E,28.41,22.78,34.13,32.36,35.09,XYL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.75,1.70,2.54,2.46,2.55,XYL,,,,,,,,,,,,,
Price/Sales (ttm),3.36,2.82,3.58,3.43,3.75,XYL,,,,,,,,,,,,,
Price/Book (mrq),2.72,2.21,7.58,5.41,6.20,XYL,,,,,,,,,,,,,
Enterprise Value/Revenue,4.24,11.47,16.39,13.75,14.06,XYL,,,,,,,,,,,,,
Enterprise Value/EBITDA,28.05,68.84,129.44,102.12,80.79,XYL,,,,,,,,,,,,,
Market Cap (intraday),24.91B,21.69B,25.12B,28.28B,30.26B,SBAC,,,,,,,,,,,,,
Enterprise Value,39.48B,36.38B,40.09B,43.31B,44.67B,SBAC,,,,,,,,,,,,,
Trailing P/E,50.74,43.05,67.57,61.86,75.56,SBAC,,,,,,,,,,,,,
Forward P/E,36.63,29.67,45.45,50.25,52.36,SBAC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.91,1.53,2.36,2.66,2.20,SBAC,,,,,,,,,,,,,
Price/Sales (ttm),9.25,8.05,9.42,10.84,12.10,SBAC,,,,,,,,,,,,,
Price/Book (mrq),,,,,,SBAC,,,,,,,,,,,,,
Enterprise Value/Revenue,14.50,53.30,59.08,64.11,65.11,SBAC,,,,,,,,,,,,,
Enterprise Value/EBITDA,23.09,95.46,86.51,97.99,105.45,SBAC,,,,,,,,,,,,,
Market Cap (intraday),23.99B,23.81B,30.59B,22.44B,21.07B,DAL,,,,,,,,,,,,,
Enterprise Value,47.32B,45.32B,53.54B,46.52B,43.54B,DAL,,,,,,,,,,,,,
Trailing P/E,5.20,7.94,16.01,16.95,252.77,DAL,,,,,,,,,,,,,
Forward P/E,5.56,5.17,7.81,6.35,6.17,DAL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),23.16,0.17,0.37,0.27,0.07,DAL,,,,,,,,,,,,,
Price/Sales (ttm),0.41,0.43,0.56,0.44,0.45,DAL,,,,,,,,,,,,,
Price/Book (mrq),2.19,2.94,4.89,3.41,4.59,DAL,,,,,,,,,,,,,
Enterprise Value/Revenue,0.82,2.93,3.44,3.65,3.24,DAL,,,,,,,,,,,,,
Enterprise Value/EBITDA,7.35,26.40,21.24,-166.74,32.06,DAL,,,,,,,,,,,,,
Market Cap (intraday),25.36B,27.71B,28.26B,25.71B,17.42B,WST,,,,,,,,,,,,,
Enterprise Value,24.77B,27.23B,27.69B,25.13B,16.99B,WST,,,,,,,,,,,,,
Trailing P/E,46.19,54.62,52.47,44.82,28.53,WST,,,,,,,,,,,,,
Forward P/E,39.22,42.55,50.51,44.84,28.33,WST,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.60,6.03,7.18,8.55,4.00,WST,,,,,,,,,,,,,
Price/Sales (ttm),8.84,9.90,10.04,9.10,6.18,WST,,,,,,,,,,,,,
Price/Book (mrq),8.84,10.11,10.18,9.58,7.06,WST,,,,,,,,,,,,,
Enterprise Value/Revenue,8.46,36.43,36.74,35.07,23.98,WST,,,,,,,,,,,,,
Enterprise Value/EBITDA,30.94,120.69,124.91,131.10,105.23,WST,,,,,,,,,,,,,
Market Cap (intraday),25.24B,25.41B,27.83B,29.90B,29.58B,WEC,,,,,,,,,,,,,
Enterprise Value,43.45B,43.46B,45.73B,47.20B,45.91B,WEC,,,,,,,,,,,,,
Trailing P/E,18.53,18.86,20.67,21.30,21.50,WEC,,,,,,,,,,,,,
Forward P/E,16.26,16.42,19.16,20.53,20.28,WEC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.48,2.57,3.00,3.26,2.89,WEC,,,,,,,,,,,,,
Price/Sales (ttm),2.74,2.74,2.91,3.12,3.21,WEC,,,,,,,,,,,,,
Price/Book (mrq),2.15,2.18,2.39,2.63,2.60,WEC,,,,,,,,,,,,,
Enterprise Value/Revenue,4.71,22.20,24.99,16.34,17.95,WEC,,,,,,,,,,,,,
Enterprise Value/EBITDA,12.36,49.45,55.02,44.55,61.55,WEC,,,,,,,,,,,,,
Market Cap (intraday),29.28B,25.82B,28.65B,28.84B,21.05B,ANSS,,,,,,,,,,,,,
Enterprise Value,29.50B,26.21B,29.01B,29.09B,21.28B,ANSS,,,,,,,,,,,,,
Trailing P/E,60.92,49.59,52.18,55.56,45.24,ANSS,,,,,,,,,,,,,
Forward P/E,36.36,30.77,39.22,38.46,28.82,ANSS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),4.02,3.51,4.50,4.48,3.64,ANSS,,,,,,,,,,,,,
Price/Sales (ttm),13.63,11.97,13.43,14.10,10.45,ANSS,,,,,,,,,,,,,
Price/Book (mrq),5.85,5.26,5.99,5.93,4.62,ANSS,,,,,,,,,,,,,
Enterprise Value/Revenue,13.66,57.12,58.42,57.10,30.65,ANSS,,,,,,,,,,,,,
Enterprise Value/EBITDA,42.45,241.07,225.67,177.69,72.42,ANSS,,,,,,,,,,,,,
Market Cap (intraday),26.02B,24.23B,28.68B,33.70B,32.23B,MTD,,,,,,,,,,,,,
Enterprise Value,28.06B,26.30B,30.71B,35.61B,34.08B,MTD,,,,,,,,,,,,,
Trailing P/E,30.61,27.90,33.35,39.84,39.60,MTD,,,,,,,,,,,,,
Forward P/E,30.40,23.53,29.94,34.84,34.25,MTD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.90,2.20,2.70,3.13,2.79,MTD,,,,,,,,,,,,,
Price/Sales (ttm),6.80,6.26,7.48,8.87,8.50,MTD,,,,,,,,,,,,,
Price/Book (mrq),,,,1.36k,,MTD,,,,,,,,,,,,,
Enterprise Value/Revenue,7.17,27.90,31.27,38.35,32.22,MTD,,,,,,,,,,,,,
Enterprise Value/EBITDA,22.28,87.09,98.16,129.70,92.08,MTD,,,,,,,,,,,,,
Market Cap (intraday),25.97B,25.99B,28.73B,29.04B,27.02B,GLW,,,,,,,,,,,,,
Enterprise Value,32.79B,33.01B,35.38B,35.18B,32.86B,GLW,,,,,,,,,,,,,
Trailing P/E,44.76,41.18,33.06,22.91,14.86,GLW,,,,,,,,,,,,,
Forward P/E,14.66,13.02,17.48,16.42,13.59,GLW,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.34,1.11,1.42,1.29,1.17,GLW,,,,,,,,,,,,,
Price/Sales (ttm),2.01,1.96,2.19,2.13,1.90,GLW,,,,,,,,,,,,,
Price/Book (mrq),2.27,2.19,2.41,2.42,2.33,GLW,,,,,,,,,,,,,
Enterprise Value/Revenue,2.52,10.40,10.91,11.07,9.65,GLW,,,,,,,,,,,,,
Enterprise Value/EBITDA,12.89,51.65,42.48,54.54,77.14,GLW,,,,,,,,,,,,,
Market Cap (intraday),24.40B,24.11B,27.79B,28.51B,27.71B,AWK,,,,,,,,,,,,,
Enterprise Value,36.03B,35.57B,38.86B,40.88B,39.55B,AWK,,,,,,,,,,,,,
Trailing P/E,25.89,25.74,31.37,32.48,21.02,AWK,,,,,,,,,,,,,
Forward P/E,24.33,24.10,29.94,30.67,31.85,AWK,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.13,3.07,3.65,4.14,4.24,AWK,,,,,,,,,,,,,
Price/Sales (ttm),5.75,5.69,6.72,7.03,7.28,AWK,,,,,,,,,,,,,
Price/Book (mrq),2.47,2.49,2.91,3.71,3.57,AWK,,,,,,,,,,,,,
Enterprise Value/Revenue,8.72,30.48,35.42,43.58,42.49,AWK,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.66,50.74,60.62,81.60,86.36,AWK,,,,,,,,,,,,,
Market Cap (intraday),25.40B,26.06B,26.31B,24.10B,22.73B,FTV,,,,,,,,,,,,,
Enterprise Value,27.42B,28.33B,28.73B,26.81B,25.59B,FTV,,,,,,,,,,,,,
Trailing P/E,31.02,33.11,34.94,32.46,33.29,FTV,,,,,,,,,,,,,
Forward P/E,19.53,19.72,22.17,20.33,18.90,FTV,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.84,1.81,2.06,2.12,1.68,FTV,,,,,,,,,,,,,
Price/Sales (ttm),4.28,4.43,4.53,4.22,4.10,FTV,,,,,,,,,,,,,
Price/Book (mrq),2.52,2.61,2.67,2.49,2.41,FTV,,,,,,,,,,,,,
Enterprise Value/Revenue,4.56,18.95,18.82,18.35,16.72,FTV,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.63,70.51,72.38,76.45,63.07,FTV,,,,,,,,,,,,,
Market Cap (intraday),25.38B,21.75B,32.13B,32.17B,30.49B,RMD,,,,,,,,,,,,,
Enterprise Value,26.67B,23.10B,33.63B,33.86B,31.21B,RMD,,,,,,,,,,,,,
Trailing P/E,28.06,24.28,37.29,39.89,38.98,RMD,,,,,,,,,,,,,
Forward P/E,24.21,21.60,31.35,29.67,33.33,RMD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.17,1.06,2.53,1.58,1.64,RMD,,,,,,,,,,,,,
Price/Sales (ttm),5.82,5.16,8.02,8.57,8.45,RMD,,,,,,,,,,,,,
Price/Book (mrq),5.97,5.27,8.17,8.61,8.91,RMD,,,,,,,,,,,,,
Enterprise Value/Revenue,6.10,20.96,29.97,30.32,30.19,RMD,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.43,67.46,98.49,95.80,93.41,RMD,,,,,,,,,,,,,
Market Cap (intraday),26.00B,21.39B,23.74B,19.25B,20.15B,CAH,,,,,,,,,,,,,
Enterprise Value,26.82B,22.05B,24.48B,20.86B,21.93B,CAH,,,,,,,,,,,,,
Trailing P/E,172.92,86.82,55.63,,,CAH,,,,,,,,,,,,,
Forward P/E,15.53,13.02,14.29,11.98,14.56,CAH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.39,1.66,5.20,,,CAH,,,,,,,,,,,,,
Price/Sales (ttm),0.13,0.11,0.13,0.11,0.11,CAH,,,,,,,,,,,,,
Price/Book (mrq),,,,,,CAH,,,,,,,,,,,,,
Enterprise Value/Revenue,0.13,0.40,0.46,0.41,0.43,CAH,,,,,,,,,,,,,
Enterprise Value/EBITDA,21.00,137.79,78.46,27.93,378.02,CAH,,,,,,,,,,,,,
Market Cap (intraday),25.78B,23.45B,30.40B,26.94B,26.76B,ZBH,,,,,,,,,,,,,
Enterprise Value,31.16B,29.00B,36.00B,32.43B,32.10B,ZBH,,,,,,,,,,,,,
Trailing P/E,54.58,46.76,68.04,93.62,82.79,ZBH,,,,,,,,,,,,,
Forward P/E,15.50,13.95,20.37,18.32,18.15,ZBH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.41,2.17,3.47,3.34,1.07,ZBH,,,,,,,,,,,,,
Price/Sales (ttm),3.56,3.28,4.31,3.92,3.39,ZBH,,,,,,,,,,,,,
Price/Book (mrq),2.06,1.89,2.50,2.24,2.18,ZBH,,,,,,,,,,,,,
Enterprise Value/Revenue,4.28,16.54,19.26,17.71,17.59,ZBH,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.93,56.70,63.62,57.22,163.55,ZBH,,,,,,,,,,,,,
Market Cap (intraday),22.35B,27.88B,28.87B,30.37B,25.23B,APTV,,,,,,,,,,,,,
Enterprise Value,27.53B,33.58B,34.75B,35.80B,27.16B,APTV,,,,,,,,,,,,,
Trailing P/E,9.84,29.88,45.78,57.24,80.98,APTV,,,,,,,,,,,,,
Forward P/E,13.28,15.85,23.47,26.11,19.68,APTV,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.65,0.74,1.09,1.21,0.85,APTV,,,,,,,,,,,,,
Price/Sales (ttm),1.12,1.39,1.53,1.74,1.49,APTV,,,,,,,,,,,,,
Price/Book (mrq),2.07,3.02,3.21,3.45,3.08,APTV,,,,,,,,,,,,,
Enterprise Value/Revenue,1.39,6.57,6.68,7.43,5.85,APTV,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.91,48.11,53.88,63.59,43.94,APTV,,,,,,,,,,,,,
Market Cap (intraday),25.89B,21.59B,24.71B,24.72B,26.11B,WTW,,,,,,,,,,,,,
Enterprise Value,30.55B,26.18B,29.05B,28.94B,30.08B,WTW,,,,,,,,,,,,,
Trailing P/E,26.53,21.32,22.91,24.88,28.84,WTW,,,,,,,,,,,,,
Forward P/E,15.43,12.85,16.26,15.75,16.39,WTW,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.23,0.83,1.05,,,WTW,,,,,,,,,,,,,
Price/Sales (ttm),2.88,2.49,2.88,2.94,3.23,WTW,,,,,,,,,,,,,
Price/Book (mrq),2.75,2.20,2.45,2.47,2.65,WTW,,,,,,,,,,,,,
Enterprise Value/Revenue,3.29,12.09,13.45,12.90,11.05,WTW,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.07,75.44,93.41,65.62,32.42,WTW,,,,,,,,,,,,,
Market Cap (intraday),23.98B,22.40B,24.49B,22.07B,22.81B,WY,,,,,,,,,,,,,
Enterprise Value,27.84B,26.46B,28.77B,25.56B,25.97B,WY,,,,,,,,,,,,,
Trailing P/E,37.76,31.94,19.60,11.91,10.13,WY,,,,,,,,,,,,,
Forward P/E,28.90,26.67,38.91,31.75,23.47,WY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,WY,,,,,,,,,,,,,
Price/Sales (ttm),3.12,2.83,2.77,2.20,2.19,WY,,,,,,,,,,,,,
Price/Book (mrq),2.34,2.21,2.43,2.05,2.10,WY,,,,,,,,,,,,,
Enterprise Value/Revenue,3.60,13.09,14.41,13.59,14.24,WY,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.13,54.34,63.79,70.04,170.84,WY,,,,,,,,,,,,,
Market Cap (intraday),25.57B,21.69B,22.12B,21.73B,24.12B,HIG,,,,,,,,,,,,,
Enterprise Value,30.16B,26.23B,26.66B,26.19B,28.64B,HIG,,,,,,,,,,,,,
Trailing P/E,11.69,11.42,12.42,12.81,13.23,HIG,,,,,,,,,,,,,
Forward P/E,8.72,7.18,8.83,8.09,8.98,HIG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,HIG,,,,,,,,,,,,,
Price/Sales (ttm),1.13,0.98,1.04,1.05,1.17,HIG,,,,,,,,,,,,,
Price/Book (mrq),1.92,1.55,1.58,1.63,1.89,HIG,,,,,,,,,,,,,
Enterprise Value/Revenue,1.26,4.30,4.43,4.45,4.90,HIG,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,HIG,,,,,,,,,,,,,
Market Cap (intraday),24.01B,20.14B,19.95B,19.31B,17.69B,GRMN,,,,,,,,,,,,,
Enterprise Value,22.42B,18.57B,18.51B,17.97B,16.33B,GRMN,,,,,,,,,,,,,
Trailing P/E,23.15,20.35,20.86,20.02,18.46,GRMN,,,,,,,,,,,,,
Forward P/E,21.14,18.90,19.49,19.68,16.26,GRMN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.01,2.00,1.87,1.98,1.98,GRMN,,,,,,,,,,,,,
Price/Sales (ttm),4.76,4.11,4.15,4.01,3.61,GRMN,,,,,,,,,,,,,
Price/Book (mrq),3.78,3.29,3.11,3.11,3.01,GRMN,,,,,,,,,,,,,
Enterprise Value/Revenue,4.44,14.54,14.01,15.66,12.50,GRMN,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.80,58.96,56.34,74.77,52.90,GRMN,,,,,,,,,,,,,
Market Cap (intraday),,17.25B,17.85B,18.13B,22.42B,FITB,,,,,,23.30B,,,,,,,
Enterprise Value,,,,,,FITB,,,,,,,,,,,,,
Trailing P/E,,7.24,7.60,7.95,10.13,FITB,,,,,,10.62,,,,,,,
Forward P/E,,7.81,7.96,7.32,8.26,FITB,,,,,,10.75,,,,,,,
PEG Ratio (5 yr expected),,5.58,5.69,2.22,,FITB,,,,,,,,,,,,,
Price/Sales (ttm),,2.01,2.14,2.26,2.89,FITB,,,,,,2.73,,,,,,,
Price/Book (mrq),,1.10,1.10,1.19,1.53,FITB,,,,,,1.37,,,,,,,
Enterprise Value/Revenue,,,,,,FITB,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,FITB,,,,,,,,,,,,,
Market Cap (intraday),24.47B,23.52B,25.12B,25.35B,24.37B,TROW,,,,,,,,,,,,,
Enterprise Value,22.20B,21.60B,23.35B,23.92B,22.32B,TROW,,,,,,,,,,,,,
Trailing P/E,15.60,15.63,18.30,16.85,12.51,TROW,,,,,,,,,,,,,
Forward P/E,15.46,14.41,16.61,16.98,15.62,TROW,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,26.80,27.37,,TROW,,,,,,,,,,,,,
Price/Sales (ttm),3.88,3.77,4.11,3.95,3.59,TROW,,,,,,,,,,,,,
Price/Book (mrq),2.60,2.53,2.78,2.87,2.75,TROW,,,,,,,,,,,,,
Enterprise Value/Revenue,3.50,12.93,14.50,15.56,14.65,TROW,,,,,,,,,,,,,
Enterprise Value/EBITDA,8.22,31.60,39.05,46.06,24.82,TROW,,,,,,,,,,,,,
Market Cap (intraday),,21.34B,23.57B,25.47B,28.46B,STT,,,,,,22.91B,,,,,,,
Enterprise Value,,,,,,STT,,,,,,,,,,,,,
Trailing P/E,,9.06,10.25,10.53,10.97,STT,,,,,,13.59,,,,,,,
Forward P/E,,8.53,9.22,8.98,9.38,STT,,,,,,10.02,,,,,,,
PEG Ratio (5 yr expected),,2.75,2.00,1.60,3.91,STT,,,,,,5.57,,,,,,,
Price/Sales (ttm),,1.93,2.19,2.31,2.41,STT,,,,,,2.07,,,,,,,
Price/Book (mrq),,0.93,1.04,1.10,1.14,STT,,,,,,1.05,,,,,,,
Enterprise Value/Revenue,,,,,,STT,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,STT,,,,,,,,,,,,,
Market Cap (intraday),22.95B,,,,,ULTA,18.55B,21.95B,27.62B,25.89B,21.40B,,,,,,,,
Enterprise Value,24.93B,,,,,ULTA,20.05B,23.21B,28.79B,27.53B,22.82B,,,,,,,,
Trailing P/E,19.17,,,,,ULTA,15.31,18.09,22.97,22.61,19.67,,,,,,,,
Forward P/E,17.70,,,,,ULTA,13.99,17.67,21.83,20.75,18.15,,,,,,,,
PEG Ratio (5 yr expected),1.85,,,,,ULTA,1.46,1.82,2.28,1.89,1.76,,,,,,,,
Price/Sales (ttm),2.18,,,,,ULTA,1.80,2.17,2.79,2.77,2.38,,,,,,,,
Price/Book (mrq),11.31,,,,,ULTA,9.04,10.88,14.05,13.47,12.10,,,,,,,,
Enterprise Value/Revenue,2.29,,,,,ULTA,8.05,9.17,10.93,8.53,9.76,,,,,,,,
Enterprise Value/EBITDA,13.43,,,,,ULTA,51.12,51.03,57.49,54.09,53.81,,,,,,,,
Market Cap (intraday),23.00B,22.25B,25.00B,22.73B,22.30B,EQR,,,,,,,,,,,,,
Enterprise Value,30.79B,30.01B,32.54B,30.45B,30.10B,EQR,,,,,,,,,,,,,
Trailing P/E,34.87,27.60,27.99,30.20,20.23,EQR,,,,,,,,,,,,,
Forward P/E,38.02,34.60,44.64,39.37,33.90,EQR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.89,2.62,3.17,2.80,1.18,EQR,,,,,,,,,,,,,
Price/Sales (ttm),8.31,8.13,9.22,8.54,8.57,EQR,,,,,,,,,,,,,
Price/Book (mrq),2.09,2.03,2.25,2.04,2.03,EQR,,,,,,,,,,,,,
Enterprise Value/Revenue,10.82,41.45,45.36,43.19,43.01,EQR,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.82,70.48,74.52,60.05,28.42,EQR,,,,,,,,,,,,,
Market Cap (intraday),24.98B,22.09B,24.23B,25.83B,24.85B,TSCO,,,,,,,,,,,,,
Enterprise Value,29.54B,26.32B,28.74B,29.90B,28.70B,TSCO,,,,,,,,,,,,,
Trailing P/E,22.54,20.28,22.77,24.21,24.45,TSCO,,,,,,,,,,,,,
Forward P/E,22.03,18.05,21.01,22.27,21.41,TSCO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.39,1.85,2.17,2.32,2.15,TSCO,,,,,,,,,,,,,
Price/Sales (ttm),1.71,1.53,1.70,1.86,1.88,TSCO,,,,,,,,,,,,,
Price/Book (mrq),11.83,10.55,12.65,12.65,12.78,TSCO,,,,,,,,,,,,,
Enterprise Value/Revenue,1.98,7.71,6.87,9.06,7.16,TSCO,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.64,61.04,43.44,87.50,63.21,TSCO,,,,,,,,,,,,,
Market Cap (intraday),,20.97B,21.64B,19.73B,23.09B,RJF,,,,,,23.41B,,,,,,,
Enterprise Value,,,,,,RJF,,,,,,,,,,,,,
